"POINT (-0.0786 51.500647)", "Tanner Street, Bermondsey"
"POINT (-0.115156 51.489479)", "Sancroft Street, Vauxhall"
"POINT (-0.079684 51.516468)", "Devonshire Square, Liverpool Street"
"POINT (-0.132053 51.518587)", "Bayley Street , Bloomsbury"
"POINT (-0.123509 51.52625)", "Tavistock Place, Bloomsbury"
"POINT (-0.139174 51.533019)", "Harrington Square 1, Camden Town"
"POINT (-0.111014 51.493686)", "Walnut Tree Walk, Vauxhall"
"POINT (-0.10044 51.498898)", "Borough Road, Elephant & Castle"
"POINT (-0.109025 51.534408)", "Cloudesley Road, Angel"
"POINT (-0.085814 51.495061)", "Bricklayers Arms, Borough"
"POINT (-0.09734 51.520841)", "Aldersgate Street, Barbican"
"POINT (-0.078505 51.53095)", "Falkirk Street, Hoxton"
"POINT (-0.183834 51.497924)", "Gloucester Road (North), Kensington"
"POINT (-0.138231 51.525542)", "Hampstead Road, Euston"
"POINT (-0.158264 51.514577)", "Old Quebec Street, Marylebone"
"POINT (-0.122806 51.490435)", "Albert Embankment, Vauxhall"
"POINT (-0.09294 51.511553)", "Queen Street 1, Bank"
"POINT (-0.076793 51.513406)", "Jewry Street, Aldgate"
"POINT (-0.192538 51.504723)", "Vicarage Gate, Kensington"
"POINT (-0.077121 51.511594)", "Crosswall, Tower"
"POINT (-0.19024 51.515529)", "Westbourne Grove, Bayswater"
"POINT (-0.147301 51.514105)", "Woodstock Street, Mayfair"
"POINT (-0.096317 51.526008)", "Finsbury Leisure Centre, St. Luke's"
"POINT (-0.132102 51.498125)", "Abbey Orchard Street, Westminster"
"POINT (-0.132328 51.515631)", "Soho Square , Soho"
"POINT (-0.172528 51.533043)", "Wellington Road, St. John's Wood"
"POINT (-0.157275 51.510017)", "Park Lane , Hyde Park"
"POINT (-0.10527 51.515809)", "Stonecutter Street, Holborn"
"POINT (-0.183289 51.496462)", "Gloucester Road (Central), South Kensington"
"POINT (-0.158963 51.524517)", "Park Road (Baker Street), The Regent's Park"
"POINT (-0.073537 51.514233)", "Braham Street, Aldgate"
"POINT (-0.141423 51.514499)", "Little Argyll Street, West End"
"POINT (-0.114934 51.49288)", "Lollard Street, Vauxhall"
"POINT (-0.135478 51.495827)", "Rochester Row, Westminster"
"POINT (-0.090847 51.525893)", "Bath Street, St. Luke's"
"POINT (-0.09308 51.515735)", "The Guildhall, Guildhall"
"POINT (-0.156166 51.518913)", "Baker Street, Marylebone"
"POINT (-0.078869 51.521113)", "Norton Folgate, Liverpool Street"
"POINT (-0.104724 51.52836)", "St. John Street, Finsbury"
"POINT (-0.150905 51.496544)", "Eaton Square, Belgravia"
"POINT (-0.094524 51.500694)", "Borough High Street, The Borough"
"POINT (-0.096496 51.517821)", "Museum of London, Barbican"
"POINT (-0.093885 51.517008)", "Wood Street, Guildhall"
"POINT (-0.185296 51.495362)", "Emperor's Gate, South Kensington"
"POINT (-0.137043 51.511897)", "Golden Square, Soho"
"POINT (-0.075459 51.509506)", "Tower Gardens , Tower"
"POINT (-0.136792 51.533005)", "Eversholt Street , Camden Town"
"POINT (-0.074754 51.523648)", "Bethnal Green Road, Shoreditch"
"POINT (-0.191462 51.501364)", "Derry Street, Kensington"
"POINT (-0.06797 51.504904)", "Wapping High Street, Wapping"
"POINT (-0.104708 51.52326)", "Clerkenwell Green, Clerkenwell"
"POINT (-0.097441 51.511961)", "Queen Victoria Street, St. Paul's"
"POINT (-0.157436 51.512276)", "Green Street, Mayfair"
"POINT (-0.117974 51.494881)", "Lambeth Road, Vauxhall"
"POINT (-0.085634 51.520962)", "Finsbury Square , Moorgate"
"POINT (-0.147203 51.515308)", "Chapel Place, Marylebone"
"POINT (-0.198286 51.493724)", "West Cromwell Road, Earl's Court"
"POINT (-0.161203 51.496886)", "Pont Street, Knightsbridge"
